# Signal Type: periodic
# Period: 245.710 days
# length: 500
# amplitude: 1.5
# baseline_error: 0.1
# time_start: 54682.0
# noise_level: 0.28721716296075284
# missing_rate: 0.00887042939520013
# period_days: 245.71038369285978
# Time	Value	Error
54682.0000	1.980182	0.103514
54712.0000	3.293840	0.155689
54742.0000	3.465276	0.185557
54772.0000	3.403114	0.168704
54802.0000	2.380309	0.125596
54832.0000	0.970929	0.047197
54862.0000	0.901319	0.046797
54892.0000	1.026561	0.050912
54922.0000	2.290828	0.131902
54952.0000	3.116567	0.172388
54982.0000	3.702379	0.166732
55012.0000	3.443583	0.165887
55042.0000	2.525849	0.130197
55072.0000	1.418286	0.065301
55102.0000	0.473225	0.022613
55132.0000	0.545388	0.025557
55162.0000	1.929289	0.094001
55192.0000	2.959590	0.149715
55222.0000	3.364588	0.174798
55252.0000	3.657298	0.186152
55282.0000	2.938259	0.140988
55312.0000	1.560059	0.081269
55342.0000	0.624433	0.029047
55372.0000	0.619865	0.031197
55402.0000	1.613528	0.084122
55432.0000	2.592677	0.125064
55462.0000	3.250351	0.151390
55492.0000	3.645012	0.171499
55522.0000	2.767092	0.146321
55552.0000	1.898746	0.096820
55582.0000	0.669150	0.036304
55612.0000	0.449593	0.022174
55642.0000	1.254408	0.064104
55672.0000	2.349227	0.107250
55702.0000	3.358430	0.169380
55732.0000	3.952070	0.196194
55762.0000	3.949140	0.213385
55792.0000	1.970677	0.102990
55822.0000	0.796393	0.038631
55852.0000	0.778185	0.040710
55882.0000	1.215434	0.058595
55912.0000	2.100983	0.112166
55942.0000	3.222445	0.160324
55972.0000	3.643458	0.174089
56002.0000	3.011771	0.146751
56032.0000	2.480306	0.128879
56062.0000	1.155666	0.059326
56092.0000	0.748571	0.034287
56122.0000	1.210671	0.065152
56152.0000	2.235405	0.106101
56182.0000	3.193786	0.142626
56212.0000	3.573918	0.174424
56242.0000	3.469132	0.178162
56272.0000	2.467933	0.121644
56302.0000	1.086718	0.054033
56332.0000	0.770466	0.036469
56362.0000	1.102333	0.055617
56392.0000	1.752690	0.088954
56422.0000	3.504925	0.176099
56452.0000	3.961551	0.197999
56482.0000	3.577048	0.165124
56512.0000	2.816818	0.140940
56542.0000	1.331335	0.067843
56572.0000	0.934563	0.048532
56602.0000	1.250532	0.065943
56632.0000	1.535109	0.082870
56662.0000	2.602697	0.124697
56692.0000	3.234123	0.164472
56722.0000	3.901829	0.189175
56752.0000	2.798092	0.146361
56782.0000	1.693178	0.085412
56812.0000	1.148470	0.062282
56842.0000	0.863581	0.041914
56872.0000	1.237023	0.062971
56902.0000	2.499363	0.137973
56932.0000	3.653520	0.172995
56962.0000	3.604337	0.179869
56992.0000	2.828521	0.145372
57022.0000	1.858719	0.083776
57052.0000	1.204449	0.062335
57082.0000	1.105568	0.055652
57112.0000	1.759990	0.096051
57142.0000	2.487305	0.134042
57172.0000	3.199879	0.158090
57202.0000	3.759223	0.199179
57232.0000	3.454483	0.182834
57262.0000	2.242448	0.106948
57292.0000	1.300623	0.070302
57322.0000	0.735098	0.035956
57352.0000	0.973524	0.049661
57382.0000	2.473504	0.130673
57412.0000	3.251353	0.156543
57442.0000	3.654040	0.198196
57472.0000	3.227663	0.177297
57502.0000	2.415780	0.116633
57532.0000	0.926749	0.047029
57562.0000	0.703736	0.036551
57592.0000	1.514225	0.078743
57622.0000	2.065188	0.098231
57652.0000	2.797885	0.128486
57682.0000	3.552868	0.171389
57712.0000	3.529231	0.175910
57742.0000	2.366630	0.113985
57772.0000	1.314558	0.067754
57802.0000	0.864302	0.046215
57832.0000	0.922499	0.046923
57862.0000	1.302413	0.066283
57892.0000	2.888889	0.151804
57922.0000	3.542346	0.184059
57952.0000	3.933367	0.208167
57982.0000	2.530604	0.120696
58012.0000	1.855995	0.095182
58042.0000	0.893205	0.044460
58072.0000	1.235165	0.064682
58102.0000	1.685566	0.085841
58132.0000	2.464743	0.127141
58162.0000	3.734225	0.190443
58192.0000	3.777934	0.176360
58222.0000	3.042061	0.156226
58252.0000	1.835125	0.089866
58282.0000	0.878693	0.043385
58312.0000	0.464647	0.020820
58342.0000	0.942091	0.046639
58372.0000	2.245985	0.104239
58402.0000	3.753423	0.177472
58432.0000	4.016859	0.193181
58462.0000	3.283885	0.160009
58492.0000	2.107770	0.104562
58522.0000	1.217567	0.064846
58552.0000	0.568358	0.028245
58582.0000	1.060484	0.053229
58612.0000	1.928445	0.094851
58642.0000	2.916873	0.144638
58672.0000	3.124642	0.152250
58702.0000	3.799233	0.178241
58732.0000	2.281503	0.104249
58762.0000	1.330181	0.064029
58792.0000	0.704283	0.033090
58822.0000	0.850869	0.046712
58852.0000	2.272390	0.109914
58882.0000	3.004956	0.149912
58912.0000	3.538745	0.176749
58942.0000	3.339188	0.155025
58972.0000	2.530456	0.135453
59002.0000	1.189442	0.061760
59032.0000	0.773815	0.038748
59062.0000	1.199128	0.058412
59092.0000	2.129257	0.109241
59122.0000	2.657113	0.144610
59152.0000	3.767708	0.179539
59182.0000	3.629386	0.185928
59212.0000	2.552670	0.127291
59242.0000	1.411226	0.068357
59272.0000	0.921563	0.048160
59302.0000	0.581057	0.028705
59332.0000	1.442018	0.072317
59362.0000	2.899763	0.141283
59392.0000	3.512691	0.185644
59422.0000	4.312663	0.224151
59452.0000	3.267057	0.161976
59482.0000	1.766203	0.086121
59512.0000	0.780010	0.038183
59542.0000	0.790275	0.037375
59572.0000	1.436250	0.065477
59602.0000	2.156789	0.105202
59632.0000	3.380625	0.167286
59662.0000	3.233467	0.152739
59692.0000	3.274326	0.176010
59722.0000	2.076665	0.105262
59752.0000	1.428487	0.068240
59782.0000	1.270260	0.067630
59812.0000	1.296088	0.063047
59842.0000	2.132869	0.111792
59872.0000	3.110087	0.161243
59902.0000	3.740577	0.188356
59932.0000	3.123696	0.151259
59962.0000	2.134229	0.106936
59992.0000	1.602769	0.079156
60022.0000	0.544977	0.028621
60052.0000	1.168099	0.056187
60082.0000	1.865295	0.090468
60112.0000	3.452355	0.165167
60142.0000	3.985351	0.191411
60172.0000	3.951666	0.208404
60202.0000	2.706969	0.136326
60232.0000	1.462245	0.075407
60262.0000	0.627779	0.033196
60292.0000	0.618522	0.031314
60322.0000	1.810540	0.088217
60352.0000	3.218083	0.175299
60382.0000	3.922975	0.193577
60412.0000	3.846357	0.185742
60442.0000	2.853875	0.140179
60472.0000	1.433377	0.070274
60502.0000	0.618579	0.031834
60532.0000	1.024219	0.052478
60562.0000	1.668625	0.078318
60592.0000	2.546367	0.132046
60622.0000	3.265112	0.163471
60652.0000	3.645180	0.184335
60682.0000	2.718638	0.132376
60712.0000	1.526728	0.079872
60742.0000	0.701248	0.032546
60772.0000	0.910906	0.044865
60802.0000	1.225202	0.060206
60832.0000	2.438049	0.111609
60862.0000	3.389131	0.182820
60892.0000	3.867082	0.182239
60922.0000		
60952.0000	1.797911	0.092121
60982.0000	0.889342	0.045565
61012.0000	1.007218	0.051670
61042.0000	1.731861	0.086096
61072.0000	2.388415	0.115415
61102.0000	3.366678	0.169845
61132.0000	3.566555	0.166170
61162.0000	3.623497	0.170944
61192.0000	2.256437	0.112425
61222.0000	1.127076	0.055683
61252.0000	0.822566	0.042817
61282.0000	1.228420	0.063169
61312.0000	1.890700	0.103715
61342.0000	3.099045	0.165773
61372.0000	3.761680	0.188623
61402.0000	3.265012	0.150612
61432.0000	2.687023	0.128752
61462.0000	1.573691	0.089478
61492.0000	0.830145	0.039932
61522.0000	1.092697	0.056121
61552.0000	1.933619	0.104989
61582.0000	3.120425	0.148231
61612.0000	3.786141	0.212739
61642.0000	3.320657	0.175537
61672.0000	2.213898	0.119655
61702.0000	1.501578	0.075505
61732.0000	1.059998	0.046820
61762.0000		
61792.0000	1.560967	0.078937
61822.0000	2.685722	0.123476
61852.0000	3.388488	0.167160
61882.0000	3.497231	0.191782
61912.0000	2.675685	0.126286
61942.0000	1.800932	0.086596
61972.0000	0.850300	0.047027
62002.0000	1.237661	0.060442
62032.0000	1.298831	0.071748
62062.0000	2.543585	0.138209
62092.0000	3.982255	0.199814
62122.0000	4.060644	0.214344
62152.0000	3.280242	0.164329
62182.0000	2.044444	0.106469
62212.0000	0.875529	0.043032
62242.0000	0.771016	0.037993
62272.0000	0.888766	0.041623
62302.0000	2.298714	0.108408
62332.0000	3.175941	0.155694
62362.0000	3.903348	0.200084
62392.0000	3.016671	0.148507
62422.0000	2.229424	0.121034
62452.0000	1.368932	0.065785
62482.0000	0.840781	0.043262
62512.0000	0.969561	0.046751
62542.0000	2.160475	0.112016
62572.0000	3.089691	0.154235
62602.0000	3.468786	0.168831
62632.0000	2.913368	0.147090
62662.0000	2.431019	0.115177
62692.0000	1.468163	0.075077
62722.0000	1.003940	0.053386
62752.0000	0.957649	0.051278
62782.0000	2.011823	0.089116
62812.0000	3.305797	0.156148
62842.0000	3.193670	0.164516
62872.0000	3.480446	0.164136
62902.0000	2.329569	0.116237
62932.0000	1.771209	0.087944
62962.0000	0.658377	0.033168
62992.0000	0.910996	0.047681
63022.0000	1.419767	0.070517
63052.0000	2.545063	0.126405
63082.0000	3.497697	0.166650
63112.0000	3.558072	0.173773
63142.0000	2.656634	0.125938
63172.0000	1.458492	0.070696
63202.0000	0.991466	0.052560
63232.0000	0.803031	0.040271
63262.0000	1.814940	0.084636
63292.0000	2.833953	0.140658
63322.0000	3.341884	0.161250
63352.0000	3.999919	0.202382
63382.0000	2.866914	0.146036
63412.0000	2.120736	0.108805
63442.0000	1.431985	0.067856
63472.0000	0.706043	0.036694
63502.0000	0.977266	0.045031
63532.0000	2.395461	0.110462
63562.0000	3.486519	0.187816
63592.0000	3.640282	0.188515
63622.0000	2.852183	0.132965
63652.0000	2.208684	0.114174
63682.0000	0.932440	0.048852
63712.0000	0.601693	0.031608
63742.0000	0.815824	0.039576
63772.0000	2.240638	0.115547
63802.0000	3.340364	0.175569
63832.0000	3.323079	0.167237
63862.0000	3.234036	0.166620
63892.0000	2.327537	0.115114
63922.0000	1.141204	0.051342
63952.0000	0.571684	0.030709
63982.0000	1.037449	0.047372
64012.0000	1.860935	0.094324
64042.0000	3.413619	0.171157
64072.0000	3.472296	0.173217
64102.0000	3.679159	0.172858
64132.0000	2.451020	0.126073
64162.0000	1.454193	0.068464
64192.0000	0.916788	0.047140
64222.0000	0.697876	0.031037
64252.0000	1.509266	0.077107
64282.0000	2.571020	0.125092
64312.0000	3.459556	0.173385
64342.0000	3.856455	0.188922
64372.0000	3.200667	0.149734
64402.0000	1.882674	0.098913
64432.0000	0.575956	0.025760
64462.0000	0.707555	0.035823
64492.0000	1.718680	0.083227
64522.0000	2.183558	0.106569
64552.0000	3.890866	0.202728
64582.0000	3.716774	0.168568
64612.0000	2.680206	0.131501
64642.0000	2.035121	0.097049
64672.0000	1.015979	0.054078
64702.0000	0.501620	0.022304
64732.0000	1.324372	0.061477
64762.0000	2.467649	0.124434
64792.0000	3.591217	0.182613
64822.0000	3.825824	0.195435
64852.0000	3.554093	0.173289
64882.0000	1.848876	0.081437
64912.0000	0.911824	0.042476
64942.0000	0.519956	0.026296
64972.0000	1.300622	0.060802
65002.0000	1.897489	0.100700
65032.0000	3.222012	0.153622
65062.0000	3.396378	0.185254
65092.0000	2.949249	0.153264
65122.0000	2.538396	0.129536
65152.0000	1.678725	0.087716
65182.0000	1.052503	0.051724
