# Signal Type: quasi-periodic
# Period: 1438.463 days
# length: 500
# amplitude: 1.5
# baseline_error: 0.1
# time_start: 54682.0
# noise_level: 0.26109524690342417
# freq_variation: 0.0647290725629508
# missing_rate: 0.008235113537859272
# period_days: 1438.4634320759924
# Time	Value	Error
54682.0000	0.983687	0.048376
54712.0000	3.339382	0.188692
54742.0000	3.637504	0.182441
54772.0000	3.524255	0.177108
54802.0000	3.417051	0.177065
54832.0000	1.749561	0.090250
54862.0000	1.859562	0.083898
54892.0000	3.236113	0.175696
54922.0000	1.776255	0.086105
54952.0000	1.174246	0.060256
54982.0000	3.200102	0.155778
55012.0000		
55042.0000	3.904271	0.193495
55072.0000	3.575331	0.184794
55102.0000	3.689073	0.197040
55132.0000	1.891451	0.093679
55162.0000	0.746638	0.041873
55192.0000	3.329546	0.181683
55222.0000	2.113710	0.099652
55252.0000	1.617506	0.078851
55282.0000	3.106980	0.157670
55312.0000	1.857074	0.097381
55342.0000	2.829936	0.135726
55372.0000	2.155736	0.109139
55402.0000	1.757948	0.088219
55432.0000	3.744040	0.187381
55462.0000	0.800697	0.041572
55492.0000	3.683086	0.187710
55522.0000	0.799741	0.041094
55552.0000	3.457901	0.152206
55582.0000	0.808078	0.038797
55612.0000	3.478019	0.173680
55642.0000	1.561279	0.078070
55672.0000	0.997710	0.046981
55702.0000	3.785890	0.185370
55732.0000	3.649588	0.179989
55762.0000	2.555247	0.126599
55792.0000	1.446283	0.073669
55822.0000	2.269814	0.104785
55852.0000	3.575386	0.171363
55882.0000	3.246896	0.167856
55912.0000	1.054891	0.053054
55942.0000	3.228206	0.152693
55972.0000	0.680994	0.033355
56002.0000	3.434524	0.173787
56032.0000	3.345101	0.181857
56062.0000	2.710210	0.133250
56092.0000	2.757936	0.130785
56122.0000	3.639807	0.170933
56152.0000	3.041352	0.153281
56182.0000	0.965490	0.048467
56212.0000	3.469257	0.165091
56242.0000	1.913915	0.100383
56272.0000	0.675128	0.033982
56302.0000	2.337427	0.119558
56332.0000	2.531746	0.125401
56362.0000	1.522152	0.075292
56392.0000	1.282231	0.065866
56422.0000	3.163303	0.156192
56452.0000	2.078800	0.101501
56482.0000	2.998020	0.143186
56512.0000	1.090231	0.052829
56542.0000	3.820147	0.206493
56572.0000	3.609420	0.176681
56602.0000	2.188283	0.100900
56632.0000	1.490006	0.079736
56662.0000	1.372322	0.068177
56692.0000	2.300366	0.110129
56722.0000	3.392108	0.162245
56752.0000	3.424613	0.183504
56782.0000	1.791478	0.093056
56812.0000	0.751396	0.037261
56842.0000	2.997340	0.142111
56872.0000	2.963646	0.147499
56902.0000	0.827309	0.039986
56932.0000	2.725946	0.143496
56962.0000	3.693841	0.192636
56992.0000	0.892877	0.047532
57022.0000	1.499148	0.076122
57052.0000	3.638152	0.172916
57082.0000	3.164627	0.149571
57112.0000	1.408244	0.073946
57142.0000	0.501270	0.025082
57172.0000	0.807481	0.036867
57202.0000	0.787690	0.042545
57232.0000	0.770574	0.039006
57262.0000	1.098928	0.062520
57292.0000	2.837130	0.146998
57322.0000	2.990099	0.132028
57352.0000	0.864642	0.045307
57382.0000	3.959045	0.203799
57412.0000	1.116061	0.058578
57442.0000	2.023666	0.094595
57472.0000	3.795256	0.187376
57502.0000	3.540464	0.184639
57532.0000	3.719555	0.195576
57562.0000	2.857685	0.149126
57592.0000	0.930235	0.046035
57622.0000	2.662337	0.131004
57652.0000	1.604928	0.079159
57682.0000	3.718470	0.185623
57712.0000	1.806068	0.083639
57742.0000	0.551821	0.026987
57772.0000	0.637188	0.032163
57802.0000	1.310069	0.064199
57832.0000	3.195886	0.161593
57862.0000	2.429369	0.114173
57892.0000	1.946117	0.089453
57922.0000	2.194033	0.104221
57952.0000	3.453667	0.166825
57982.0000	1.474125	0.078714
58012.0000	1.071432	0.055676
58042.0000	0.455315	0.022850
58072.0000	0.608931	0.029632
58102.0000	1.069069	0.054643
58132.0000	3.165316	0.167879
58162.0000	3.672297	0.179128
58192.0000	1.185327	0.061673
58222.0000	3.146812	0.163619
58252.0000	2.814235	0.143184
58282.0000	1.684351	0.079792
58312.0000	2.095233	0.103004
58342.0000	2.068555	0.093819
58372.0000	1.637351	0.079593
58402.0000	3.482881	0.174519
58432.0000	0.736850	0.039669
58462.0000	3.613219	0.181604
58492.0000	0.647792	0.031453
58522.0000	3.489083	0.186913
58552.0000	0.936163	0.050145
58582.0000	3.437599	0.175180
58612.0000	0.518307	0.025144
58642.0000	3.582931	0.183189
58672.0000	2.532035	0.122821
58702.0000	1.145650	0.054646
58732.0000	1.830075	0.097153
58762.0000	2.585063	0.138409
58792.0000	3.198473	0.143581
58822.0000	2.839636	0.138833
58852.0000	1.605194	0.082355
58882.0000	0.921162	0.049422
58912.0000	3.537364	0.173379
58942.0000	1.487522	0.072948
58972.0000	3.447584	0.187968
59002.0000	0.524965	0.027358
59032.0000	1.396239	0.069084
59062.0000	2.441755	0.119798
59092.0000	2.371152	0.123528
59122.0000	1.391632	0.073411
59152.0000	0.819924	0.039838
59182.0000	3.688605	0.176306
59212.0000	1.005385	0.053622
59242.0000	3.393985	0.165098
59272.0000	3.224183	0.157734
59302.0000	1.266559	0.062657
59332.0000	1.132272	0.059618
59362.0000	2.087477	0.114974
59392.0000	3.584316	0.175374
59422.0000	2.364341	0.117949
59452.0000	1.897449	0.096790
59482.0000	2.427643	0.130323
59512.0000	3.085691	0.148555
59542.0000	0.773257	0.041406
59572.0000	1.812550	0.092116
59602.0000	3.169276	0.169608
59632.0000	3.635423	0.175633
59662.0000	3.210561	0.155695
59692.0000	2.653112	0.153109
59722.0000	1.678483	0.088658
59752.0000	0.496634	0.025913
59782.0000	2.285755	0.110003
59812.0000	3.731822	0.198587
59842.0000	2.170695	0.100782
59872.0000	1.243217	0.058390
59902.0000	3.221155	0.164507
59932.0000	2.480172	0.130088
59962.0000	0.912722	0.048003
59992.0000	2.963179	0.152545
60022.0000	3.637218	0.175785
60052.0000	1.198935	0.062159
60082.0000	0.614059	0.032402
60112.0000	2.270447	0.106359
60142.0000	3.330443	0.177556
60172.0000	4.020851	0.198207
60202.0000	3.479556	0.172679
60232.0000	3.530549	0.187928
60262.0000	2.588246	0.122674
60292.0000	0.925870	0.047979
60322.0000	1.951435	0.097471
60352.0000	3.169976	0.159862
60382.0000	0.757266	0.036647
60412.0000	3.054927	0.161493
60442.0000	3.034974	0.148037
60472.0000	1.398885	0.069203
60502.0000	0.940001	0.047977
60532.0000	0.795284	0.040139
60562.0000	2.075860	0.098566
60592.0000	4.039159	0.205712
60622.0000	1.645688	0.075797
60652.0000	3.350677	0.166397
60682.0000	0.520351	0.026352
60712.0000	2.144679	0.108276
60742.0000	2.906216	0.155911
60772.0000		
60802.0000	2.279434	0.131267
60832.0000	0.777099	0.039442
60862.0000	2.686630	0.131921
60892.0000	2.206505	0.100605
60922.0000	2.953364	0.141298
60952.0000	0.536112	0.028364
60982.0000	2.286789	0.115620
61012.0000	3.516353	0.196396
61042.0000	3.522296	0.194718
61072.0000	3.913281	0.202669
61102.0000	2.727943	0.133577
61132.0000	1.392976	0.072745
61162.0000	1.445016	0.071960
61192.0000	3.588148	0.186812
61222.0000	1.294341	0.065261
61252.0000	2.972166	0.146705
61282.0000	1.757203	0.085264
61312.0000	2.691022	0.132747
61342.0000	1.593488	0.073973
61372.0000	3.114626	0.151906
61402.0000	0.396565	0.019895
61432.0000	3.653945	0.179839
61462.0000	0.904043	0.047027
61492.0000	3.110902	0.151555
61522.0000	1.554656	0.078917
61552.0000	3.329654	0.159609
61582.0000	1.238519	0.071270
61612.0000	3.554067	0.177760
61642.0000	0.983833	0.054386
61672.0000	2.473915	0.130436
61702.0000	3.648758	0.191206
61732.0000	1.876724	0.093079
61762.0000	1.300623	0.064239
61792.0000	0.783154	0.036908
61822.0000	1.432455	0.072131
61852.0000	2.608836	0.112579
61882.0000	3.553022	0.176125
61912.0000	1.498720	0.070782
61942.0000	2.351642	0.116128
61972.0000	1.328103	0.068275
62002.0000	3.197931	0.153020
62032.0000	2.292234	0.113965
62062.0000	1.615934	0.077192
62092.0000	1.423570	0.078652
62122.0000	2.469198	0.126171
62152.0000	3.587590	0.181118
62182.0000	0.822480	0.042914
62212.0000	3.553446	0.182719
62242.0000	0.656283	0.031327
62272.0000	2.156586	0.110582
62302.0000	3.342432	0.165358
62332.0000	3.541411	0.185172
62362.0000	2.973855	0.146910
62392.0000	1.281085	0.066202
62422.0000	1.549082	0.079297
62452.0000	3.427353	0.165708
62482.0000	1.972332	0.098672
62512.0000	2.264333	0.122930
62542.0000	3.458543	0.165948
62572.0000	1.753328	0.079065
62602.0000	1.274015	0.062396
62632.0000	0.520995	0.025490
62662.0000	0.994594	0.049227
62692.0000	1.584082	0.069825
62722.0000	2.281978	0.105955
62752.0000	3.499044	0.176091
62782.0000	2.730174	0.152541
62812.0000	1.116601	0.054087
62842.0000	1.655198	0.089536
62872.0000	3.804194	0.185596
62902.0000	1.632026	0.076696
62932.0000	1.654795	0.088843
62962.0000	3.872085	0.185611
62992.0000	2.045933	0.100097
63022.0000	1.147429	0.059750
63052.0000	2.540987	0.126324
63082.0000	3.566932	0.167462
63112.0000	2.678636	0.144587
63142.0000	1.675753	0.078300
63172.0000	0.802177	0.037532
63202.0000	1.335735	0.065334
63232.0000	1.430299	0.071507
63262.0000	2.212067	0.121775
63292.0000	3.531529	0.170911
63322.0000	2.112307	0.104574
63352.0000	1.066645	0.058742
63382.0000	2.822161	0.133812
63412.0000	1.930128	0.106475
63442.0000	0.852812	0.043981
63472.0000	2.372013	0.115496
63502.0000	3.281941	0.169107
63532.0000	3.138353	0.172305
63562.0000	1.721761	0.092576
63592.0000	0.892279	0.042041
63622.0000	3.709186	0.172920
63652.0000	1.059488	0.052647
63682.0000	3.469159	0.155889
63712.0000	3.221219	0.153822
63742.0000	1.467790	0.071263
63772.0000	1.537661	0.074240
63802.0000	2.585987	0.134786
63832.0000	3.836455	0.179088
63862.0000	1.698237	0.088443
63892.0000	2.419156	0.118382
63922.0000	1.208286	0.058370
63952.0000	4.067558	0.199149
63982.0000		
64012.0000	1.258551	0.061665
64042.0000	1.154888	0.054206
64072.0000	1.540861	0.081450
64102.0000	2.353233	0.118690
64132.0000	3.919675	0.205538
64162.0000	2.128898	0.108384
64192.0000	0.738002	0.036142
64222.0000	3.534478	0.184307
64252.0000	0.564151	0.031283
64282.0000	3.079247	0.153681
64312.0000	1.222602	0.060299
64342.0000	3.183328	0.162513
64372.0000	0.674845	0.035144
64402.0000	3.945741	0.210425
64432.0000	0.952526	0.051092
64462.0000	3.154347	0.160752
64492.0000	1.675690	0.086692
64522.0000	2.416400	0.128901
64552.0000	2.010009	0.102690
64582.0000	3.071912	0.147201
64612.0000	1.335096	0.067687
64642.0000	3.896476	0.200901
64672.0000	1.350637	0.065903
64702.0000	1.597902	0.076991
64732.0000	2.662488	0.130862
64762.0000	3.419408	0.150341
64792.0000	3.693871	0.191462
64822.0000	3.615890	0.181922
64852.0000	2.782832	0.126558
64882.0000	0.768027	0.035199
64912.0000	2.226190	0.111573
64942.0000	2.645534	0.140289
64972.0000	2.592798	0.138150
65002.0000	0.832900	0.041676
65032.0000	2.646560	0.139697
65062.0000	3.261661	0.159312
65092.0000	3.711511	0.194459
65122.0000	2.732287	0.129626
